
Image Name                     PID Session Name        Session#    Mem Usage
PhoneExperienceHost.exe       4900 Console                    1   1,82,804 K
SecurityHealthSystray.exe    11340 Console                    1     10,380 K
SecurityHealthService.exe    11384 Services                   0     20,100 K
PowerToys.exe                11488 Console                    1      9,668 K
RtkAudUService64.exe         11512 Console                    1     13,872 K
CCXProcess.exe               11760 Console                    1      4,076 K
node.exe                     11784 Console                    1     76,344 K
svchost.exe                  11792 Services                   0     26,344 K
conhost.exe                  11928 Console                    1     10,192 K
WidgetService.exe            12092 Console                    1     19,988 K
PowerToys.AlwaysOnTop.exe    12176 Console                    1      2,020 K
PowerToys.Awake.exe          12200 Console                    1     12,072 K
PowerToys.ColorPickerUI.e    12252 Console                    1     84,152 K
PowerToys.CropAndLock.exe    11616 Console                    1      1,568 K
PowerToys.FancyZones.exe     11676 Console                    1     15,528 K
PowerToys.Peek.UI.exe         9928 Console                    1     26,268 K
RuntimeBroker.exe             9404 Console                    1     14,044 K
svchost.exe                  12352 Services                   0     14,436 K
jusched.exe                  12476 Console                    1     17,024 K
AdobeIPCBroker.exe           12540 Console                    1     12,152 K
PowerToys.PowerLauncher.e    12632 Console                    1   1,03,620 K
PowerToys.PowerOCR.exe       12656 Console                    1      8,152 K
TextInputHost.exe            13268 Console                    1   1,98,184 K
QASvc.exe                    10404 Services                   0     10,928 K
QAAgent.exe                  13880 Console                    1     10,136 K
QAAdminAgent.exe             13960 Console                    1     13,504 K
unsecapp.exe                 14008 Console                    1      8,004 K
backgroundTaskHost.exe       12388 Console                    1      1,992 K
WhatsApp.exe                  5708 Console                    1     65,068 K
backgroundTaskHost.exe        1400 Console                    1      6,752 K
RuntimeBroker.exe             4160 Console                    1     25,476 K
svchost.exe                  10648 Console                    1     25,732 K
RuntimeBroker.exe             5596 Console                    1     19,616 K
svchost.exe                  11432 Services                   0     16,008 K
svchost.exe                  11892 Services                   0      7,856 K
svchost.exe                  10548 Services                   0     18,468 K
svchost.exe                  13952 Services                   0     11,224 K
svchost.exe                  13948 Services                   0     11,084 K
